time model lmap smap view 
10022 0 0 0 0 
25410 191 715 18 15 
4599 0 0 0 0 
9982 0 0 0 0 
25466 189 684 18 14 
4538 0 0 0 0 
10008 0 0 0 0 
26268 245 628 19 14 
3642 0 0 0 0 
10082 0 0 0 0 
25846 184 688 19 15 
4165 0 0 0 0 
9975 0 0 0 0 
25464 179 668 19 16 
4549 0 0 0 0 
9986 0 0 0 0 
10050 0 0 0 0 
25787 220 667 19 15 
4160 0 0 0 0 
9928 0 0 0 0 
25956 209 851 19 15 
4123 0 0 0 0 
9905 0 0 0 0 
25665 301 784 19 15 
4371 0 0 0 0 
9961 0 0 0 0 
25652 173 654 19 14 
4429 0 0 0 0 
10037 0 0 0 0 
25288 243 680 19 14 
4714 0 0 0 0 
9977 0 0 0 0 
25612 241 649 19 14 
4354 0 0 0 0 
9998 0 0 0 0 
27009 194 696 18 14 
3036 0 0 0 0 
9898 0 0 0 0 
10056 0 0 0 0 
26371 185 696 19 15 
3678 0 0 0 0 
10008 0 0 0 0 
26626 175 655 18 14 
115360 0 0 0 0 
26881 274 724 22 20 
26817 89 664 20 16 
4218 0 0 0 0 
10087 0 0 0 0 
26888 254 726 21 17 
3071 0 0 0 0 
10048 0 0 0 0 
29416 186 681 19 16 
479 0 0 0 0 
9958 0 0 0 0 
26563 98 753 21 18 
3481 0 0 0 0 
10088 0 0 0 0 
26753 238 680 20 16 
3178 0 0 0 0 
9967 0 0 0 0 
26912 180 784 20 15 
3075 0 0 0 0 
10043 0 0 0 0 
27103 153 725 20 16 
2968 0 0 0 0 
9996 0 0 0 0 
9933 0 0 0 0 
26707 119 720 20 17 
3362 0 0 0 0 
9997 0 0 0 0 
28462 233 709 19 15 
1541 0 0 0 0 
10000 0 0 0 0 
27012 252 682 21 17 
2991 0 0 0 0 
9998 0 0 0 0 
26340 239 673 20 15 
3588 0 0 0 0 
9974 0 0 0 0 
26390 108 706 19 16 
3674 0 0 0 0 
9954 0 0 0 0 
26464 116 669 19 15 
3638 0 0 0 0 
9942 0 0 0 0 
9965 0 0 0 0 
26467 303 815 20 16 
3606 0 0 0 0 
9962 0 0 0 0 
27481 195 730 19 15 
2604 0 0 0 0 
9952 0 0 0 0 
26431 179 747 20 16 
3502 0 0 0 0 
10087 0 0 0 0 
26237 179 680 20 16 
3708 0 0 0 0 
9985 0 0 0 0 
26549 235 658 21 16 
3544 0 0 0 0 
9978 0 0 0 0 
26494 188 692 20 15 
3506 0 0 0 0 
9906 0 0 0 0 
9976 0 0 0 0 
27995 149 692 20 16 
2101 0 0 0 0 
10255 0 0 0 0 
28054 94 716 21 16 
1681 0 0 0 0 
10031 0 0 0 0 
26352 191 794 21 17 
3547 0 0 0 0 
10009 0 0 0 0 
26430 201 727 20 17 
3554 0 0 0 0 
10029 0 0 0 0 
26350 203 823 20 16 
3622 0 0 0 0 
10027 0 0 0 0 
9991 0 0 0 0 
26590 245 820 21 15 
3443 0 0 0 0 
10053 0 0 0 0 
26611 178 713 20 15 
3303 0 0 0 0 
10089 0 0 0 0 
27454 176 906 21 16 
2458 0 0 0 0 
10121 0 0 0 0 
26463 180 688 19 16 
3428 0 0 0 0 
10002 0 0 0 0 
27078 179 848 20 16 
2907 0 0 0 0 
10002 0 0 0 0 
26899 210 899 20 16 
3084 0 0 0 0 
9965 0 0 0 0 
10064 0 0 0 0 
27002 224 848 21 16 
2986 0 0 0 0 
9941 0 0 0 0 
26984 99 691 21 17 
3087 0 0 0 0 
10013 0 0 0 0 
28576 209 690 21 16 
1411 0 0 0 0 
10005 0 0 0 0 
27332 223 822 22 17 
2789 0 0 0 0 
9891 0 0 0 0 
32008 185 771 21 16 
8076 0 0 0 0 
27543 183 791 22 17 
2341 0 0 0 0 
10074 0 0 0 0 
9946 0 0 0 0 
26915 212 910 22 17 
3079 0 0 0 0 
10000 0 0 0 0 
26171 231 885 22 17 
3819 0 0 0 0 
10031 0 0 0 0 
26965 218 779 23 21 
3089 0 0 0 0 
9977 0 0 0 0 
26205 182 742 22 16 
3714 0 0 0 0 
10048 0 0 0 0 
26008 235 759 21 16 
3973 0 0 0 0 
9990 0 0 0 0 
26144 243 809 21 15 
3967 0 0 0 0 
9897 0 0 0 0 
9988 0 0 0 0 
26580 198 841 21 16 
3422 0 0 0 0 
10014 0 0 0 0 
26399 179 836 20 16 
3599 0 0 0 0 
9998 0 0 0 0 
27538 213 853 21 16 
2535 0 0 0 0 
9952 0 0 0 0 
26379 235 769 20 16 
3589 0 0 0 0 
10009 0 0 0 0 
26328 221 692 22 16 
3643 0 0 0 0 
10046 0 0 0 0 
26309 211 706 22 17 
3745 0 0 0 0 
9953 0 0 0 0 
10038 0 0 0 0 
27015 179 738 21 16 
3000 0 0 0 0 
9891 0 0 0 0 
26593 242 892 21 16 
3441 0 0 0 0 
9938 0 0 0 0 
26591 93 774 24 17 
3471 0 0 0 0 
10071 0 0 0 0 
26333 178 839 21 16 
3593 0 0 0 0 
9930 0 0 0 0 
30587 89 654 20 15 
9490 0 0 0 0 
27007 221 802 22 16 
2992 0 0 0 0 
9924 0 0 0 0 
10037 0 0 0 0 
27283 248 886 22 16 
2857 0 0 0 0 
9897 0 0 0 0 
26988 224 810 22 16 
3013 0 0 0 0 
9937 0 0 0 0 
26747 103 809 22 16 
3313 0 0 0 0 
10002 0 0 0 0 
27015 224 828 22 16 
2968 0 0 0 0 
9982 0 0 0 0 
31228 289 795 22 15 
8808 0 0 0 0 
27531 180 841 22 16 
2395 0 0 0 0 
10090 0 0 0 0 
9947 0 0 0 0 
27247 245 852 21 15 
2718 0 0 0 0 
10034 0 0 0 0 
27158 198 896 22 15 
2871 0 0 0 0 
10032 0 0 0 0 
26694 334 856 22 16 
3270 0 0 0 0 
9975 0 0 0 0 
26157 197 893 22 16 
3865 0 0 0 0 
9980 0 0 0 0 
29038 195 872 21 15 
1077 0 0 0 0 
9927 0 0 0 0 
26359 217 754 22 16 
3571 0 0 0 0 
10074 0 0 0 0 
9953 0 0 0 0 
26548 246 873 21 15 
3425 0 0 0 0 
10045 0 0 0 0 
26260 197 825 21 16 
3742 0 0 0 0 
